user_id,action,time,cohort (main)
32462,self_test2.module6.problem_check,11/18/2015 4:10,Group B
32462,self_test2.module6.problem_check,11/18/2015 4:10,Group B
32462,graded_problem1.module6.problem_check,11/18/2015 6:29,Group B
32462,graded_problem1.module6.problem_check,11/18/2015 6:29,Group B
32462,graded_problem2.module6.problem_check,11/18/2015 6:29,Group B
32462,graded_problem3.module6.problem_check,11/18/2015 6:33,Group B
32462,graded_problem4.module6.problem_check,11/18/2015 6:33,Group B
32462,graded_problem5.module6.problem_check,11/18/2015 6:33,Group B
32462,graded_problem6.module6.problem_check,11/18/2015 6:34,Group B
32462,graded_problem7.module6.problem_check,11/18/2015 6:35,Group B
32462,graded_problem7.module6.problem_check,11/18/2015 6:35,Group B
32462,graded_problem8.module6.problem_check,11/18/2015 6:35,Group B
32462,graded_problem9.module6.problem_check,11/18/2015 6:37,Group B
32462,graded_problem9.module6.problem_check,11/18/2015 6:37,Group B
32462,graded_problem10.module6.problem_check,11/18/2015 6:37,Group B
32462,graded_problem1.module7.problem_check,11/25/2015 0:57,Group B
32462,graded_problem2.module7.problem_check,11/25/2015 0:57,Group B
32462,graded_problem3.module7.problem_check,11/25/2015 0:58,Group B
32462,graded_problem4.module7.problem_check,11/25/2015 1:05,Group B
32462,graded_problem4.module7.showanswer,11/25/2015 1:06,Group B
32462,graded_problem5.module7.problem_check,11/25/2015 1:06,Group B
32462,graded_problem6.module7.problem_check,11/25/2015 1:07,Group B
32462,graded_problem7.module7.problem_check,11/25/2015 1:07,Group B
32462,graded_problem8.module7.problem_check,11/25/2015 1:13,Group B
32462,graded_problem9.module7.problem_check,11/25/2015 1:13,Group B
32462,graded_problem9.module7.problem_check,11/25/2015 1:13,Group B
32462,graded_problem10.module7.problem_check,11/25/2015 1:15,Group B
32462,graded_problem11.module7.problem_check,11/25/2015 1:15,Group B
32462,graded_problem12.module7.problem_check,11/25/2015 1:16,Group B
32462,graded_problem13.module7.problem_check,11/25/2015 1:17,Group B
32462,graded_problem14.module7.problem_check,11/25/2015 1:18,Group B
32462,graded_problem15.module7.problem_check,11/25/2015 1:19,Group B
32462,graded_problem16.module7.problem_check,11/25/2015 1:19,Group B
32462,graded_problem16.module7.problem_check,11/25/2015 1:19,Group B
32462,graded_problem17.module7.problem_check,11/25/2015 1:20,Group B
32462,graded_problem18.module7.problem_check,11/25/2015 1:22,Group B
32462,graded_problem19.module7.problem_check,11/25/2015 1:22,Group B
32462,graded_problem20.module7.problem_check,11/25/2015 1:23,Group B
32462,graded_problem20.module7.problem_check,11/25/2015 1:23,Group B
32462,graded_problem1.module8.problem_check,11/25/2015 1:26,Group B
32462,graded_problem2.module8.problem_check,11/25/2015 1:35,Group B
171045,forum.read,10/14/2015 15:04,Group B
171045,graded_problem1.module0.problem_check,10/15/2015 14:27,Group B
171045,video1.module1.play_video,10/15/2015 14:27,Group B
171045,video1.module1.pause_video,10/15/2015 14:31,Group B
171045,video2.module1.play_video,10/15/2015 14:37,Group B
171045,video2.module1.pause_video,10/15/2015 14:37,Group B
171045,video2.module1.play_video,10/15/2015 14:40,Group B
171045,video2.module1.pause_video,10/15/2015 14:43,Group B
171045,video2.module1.play_video,10/15/2015 14:43,Group B
171045,video2.module1.pause_video,10/15/2015 14:43,Group B
171045,graded_problem1.module1.problem_check,10/15/2015 14:43,Group B
171045,graded_problem1.module1.problem_check,10/15/2015 14:43,Group B
171045,video2.module1.play_video,10/15/2015 14:43,Group B
171045,video2.module1.pause_video,10/15/2015 14:44,Group B
171045,video2.module1.play_video,10/15/2015 14:44,Group B
171045,video2.module1.pause_video,10/15/2015 14:45,Group B
171045,self_test1.module1.problem_check,10/15/2015 14:45,Group B
171045,video3.module1.play_video,10/15/2015 14:45,Group B
171045,video3.module1.pause_video,10/15/2015 14:50,Group B
171045,video3.module1.play_video,10/15/2015 14:50,Group B
171045,video3.module1.pause_video,10/15/2015 14:50,Group B
171045,graded_problem2.module1.problem_check,10/15/2015 14:51,Group B
171045,video3.module1.play_video,10/15/2015 14:51,Group B
